symbol,companyName,sector,exchange,startingPrice
TCS,Tata Consultancy Services,IT,NSE,3850.0
INFY,Infosys Ltd,IT,NSE,1620.5
WIPRO,Wipro Ltd,IT,NSE,485.2
HCLTECH,HCL Technologies,IT,NSE,1750.0
TECHM,Tech Mahindra,IT,NSE,1620.0
LTIM,LTIMindtree,IT,NSE,5450.0
MPHASIS,Mphasis Ltd,IT,NSE,2850.0
PERSISTENT,Persistent Systems,IT,NSE,5200.0
COFORGE,Coforge Ltd,IT,NSE,6100.0
LTTS,L&T Technology Services,IT,NSE,4800.0
OFSS,Oracle Financial Services,IT,NSE,8200.0
KPITTECH,KPIT Technologies,IT,NSE,1450.0
ZENSARTECH,Zensar Technologies,IT,NSE,680.0
MASTEK,Mastek Ltd,IT,NSE,2900.0
NEWGEN,Newgen Software,IT,NSE,950.0
HDFCBANK,HDFC Bank Ltd,Banking,NSE,1685.3
ICICIBANK,ICICI Bank Ltd,Banking,NSE,1145.6
SBIN,State Bank of India,Banking,NSE,825.9
AXISBANK,Axis Bank Ltd,Banking,NSE,1195.45
KOTAKBANK,Kotak Mahindra Bank,Banking,NSE,1780.0
INDUSINDBK,IndusInd Bank,Banking,NSE,1420.0
BANKBARODA,Bank of Baroda,Banking,NSE,240.0
PNB,Punjab National Bank,Banking,NSE,105.0
CANBK,Canara Bank,Banking,NSE,520.0
IDFCFIRSTB,IDFC First Bank,Banking,NSE,78.0
FEDERALBNK,Federal Bank,Banking,NSE,195.0
RBLBANK,RBL Bank,Banking,NSE,255.0
AUBANK,AU Small Finance Bank,Banking,NSE,650.0
BANDHANBNK,Bandhan Bank,Banking,NSE,210.0
YESBANK,Yes Bank Ltd,Banking,NSE,24.0
BAJFINANCE,Bajaj Finance,NBFC,NSE,7100.0
BAJAJFINSV,Bajaj Finserv,NBFC,NSE,1650.0
HDFCLIFE,HDFC Life Insurance,Insurance,NSE,620.0
SBILIFE,SBI Life Insurance,Insurance,NSE,1450.0
ICICIPRULI,ICICI Prudential Life,Insurance,NSE,620.0
ICICIGI,ICICI Lombard General Insurance,Insurance,NSE,1850.0
LICI,Life Insurance Corp of India,Insurance,NSE,920.0
MUTHOOTFIN,Muthoot Finance,NBFC,NSE,1780.0
CHOLAFIN,Cholamandalam Investment,NBFC,NSE,1350.0
PFC,Power Finance Corp,NBFC,NSE,450.0
RECLTD,REC Ltd,NBFC,NSE,520.0
RELIANCE,Reliance Industries,Energy,NSE,2950.75
ONGC,Oil & Natural Gas Corp,Energy,NSE,265.4
IOC,Indian Oil Corporation,Energy,NSE,165.0
BPCL,Bharat Petroleum Corp,Energy,NSE,310.0
HPCL,Hindustan Petroleum Corp,Energy,NSE,395.0
GAIL,GAIL India Ltd,Energy,NSE,195.0
PETRONET,Petronet LNG,Energy,NSE,310.0
OIL,Oil India Ltd,Energy,NSE,480.0
ADANIGREEN,Adani Green Energy,Energy,NSE,1050.0
ADANIPOWER,Adani Power,Energy,NSE,560.0
ITC,ITC Ltd,FMCG,NSE,435.15
HINDUNILVR,Hindustan Unilever,FMCG,NSE,2410.0
NESTLEIND,Nestle India,FMCG,NSE,2350.0
BRITANNIA,Britannia Industries,FMCG,NSE,4850.0
DABUR,Dabur India,FMCG,NSE,560.0
MARICO,Marico Ltd,FMCG,NSE,580.0
GODREJCP,Godrej Consumer Products,FMCG,NSE,1180.0
COLPAL,Colgate-Palmolive India,FMCG,NSE,2650.0
TATACONSUM,Tata Consumer Products,FMCG,NSE,1050.0
VBL,Varun Beverages,FMCG,NSE,620.0
MARUTI,Maruti Suzuki India,Automobile,NSE,12450.0
TATAMOTORS,Tata Motors Ltd,Automobile,NSE,985.75
M&M,Mahindra & Mahindra,Automobile,NSE,2850.0
BAJAJ-AUTO,Bajaj Auto Ltd,Automobile,NSE,9500.0
HEROMOTOCO,Hero MotoCorp,Automobile,NSE,4650.0
EICHERMOT,Eicher Motors,Automobile,NSE,4750.0
ASHOKLEY,Ashok Leyland,Automobile,NSE,220.0
TVSMOTOR,TVS Motor Company,Automobile,NSE,2450.0
BALKRISIND,Balkrishna Industries,Automobile,NSE,2750.0
MRF,MRF Ltd,Automobile,NSE,128000.0
BOSCHLTD,Bosch Ltd,Automobile,NSE,32000.0
EXIDEIND,Exide Industries,Automobile,NSE,420.0
SUNPHARMA,Sun Pharmaceutical,Pharma,NSE,1720.4
CIPLA,Cipla Ltd,Pharma,NSE,1495.2
DRREDDY,Dr Reddys Laboratories,Pharma,NSE,6200.0
DIVISLAB,Divis Laboratories,Pharma,NSE,4100.0
LUPIN,Lupin Ltd,Pharma,NSE,2050.0
AUROPHARMA,Aurobindo Pharma,Pharma,NSE,1350.0
TORNTPHARM,Torrent Pharmaceuticals,Pharma,NSE,3250.0
ALKEM,Alkem Laboratories,Pharma,NSE,4850.0
BIOCON,Biocon Ltd,Pharma,NSE,350.0
ZYDUSLIFE,Zydus Lifesciences,Pharma,NSE,980.0
BHARTIARTL,Bharti Airtel Ltd,Telecom,NSE,1380.6
IDEA,Vodafone Idea,Telecom,NSE,14.5
INDUSTOWER,Indus Towers,Telecom,NSE,380.0
TATASTEEL,Tata Steel Ltd,Metals,NSE,165.0
JSWSTEEL,JSW Steel Ltd,Metals,NSE,950.0
HINDALCO,Hindalco Industries,Metals,NSE,650.0
VEDL,Vedanta Ltd,Metals,NSE,460.0
JINDALSTEL,Jindal Steel & Power,Metals,NSE,980.0
SAIL,Steel Authority of India,Metals,NSE,130.0
NMDC,NMDC Ltd,Metals,NSE,240.0
NATIONALUM,National Aluminium Co,Metals,NSE,180.0
HINDZINC,Hindustan Zinc,Metals,NSE,450.0
APLAPOLLO,APL Apollo Tubes,Metals,NSE,1650.0
ULTRACEMCO,UltraTech Cement,Cement,NSE,10500.0
SHREECEM,Shree Cement,Cement,NSE,26000.0
AMBUJACEM,Ambuja Cements,Cement,NSE,580.0
ACC,ACC Ltd,Cement,NSE,2350.0
DALBHARAT,Dalmia Bharat,Cement,NSE,1950.0
JKCEMENT,JK Cement,Cement,NSE,4200.0
RAMCOCEM,Ramco Cements,Cement,NSE,950.0
LT,Larsen & Toubro,Infrastructure,NSE,3560.8
ADANIPORTS,Adani Ports & SEZ,Infrastructure,NSE,1350.0
GMRINFRA,GMR Airports Infra,Infrastructure,NSE,95.0
IRB,IRB Infrastructure,Infrastructure,NSE,65.0
NCC,NCC Ltd,Infrastructure,NSE,280.0
NBCC,NBCC India,Infrastructure,NSE,115.0
RVNL,Rail Vikas Nigam,Infrastructure,NSE,450.0
IRCON,Ircon International,Infrastructure,NSE,210.0
TITAN,Titan Company Ltd,Consumer Goods,NSE,3420.5
ASIANPAINT,Asian Paints Ltd,Consumer Goods,NSE,2985.0
BERGEPAINT,Berger Paints India,Consumer Goods,NSE,580.0
HAVELLS,Havells India,Consumer Goods,NSE,1650.0
VOLTAS,Voltas Ltd,Consumer Goods,NSE,1450.0
CROMPTON,Crompton Greaves Consumer,Consumer Goods,NSE,380.0
DMART,Avenue Supermarts (DMart),Retail,NSE,4200.0
TRENT,Trent Ltd,Retail,NSE,5850.0
ABFRL,Aditya Birla Fashion,Retail,NSE,280.0
SHOPERSTOP,Shoppers Stop,Retail,NSE,750.0
VMART,V-Mart Retail,Retail,NSE,2650.0
RELAXO,Relaxo Footwears,Retail,NSE,850.0
ADANIENT,Adani Enterprises,Diversified,NSE,2890.3
GRASIM,Grasim Industries,Diversified,NSE,2350.0
SIEMENS,Siemens Ltd,Diversified,NSE,6500.0
NTPC,NTPC Ltd,Power,NSE,360.0
POWERGRID,Power Grid Corp,Power,NSE,320.0
TATAPOWER,Tata Power Company,Power,NSE,420.0
TORNTPOWER,Torrent Power,Power,NSE,1650.0
JSWENERGY,JSW Energy,Power,NSE,650.0
NHPC,NHPC Ltd,Power,NSE,95.0
DLF,DLF Ltd,Realty,NSE,850.0
GODREJPROP,Godrej Properties,Realty,NSE,2650.0
OBEROIRLTY,Oberoi Realty,Realty,NSE,1750.0
PRESTIGE,Prestige Estates Projects,Realty,NSE,1650.0
PHOENIXLTD,Phoenix Mills,Realty,NSE,2850.0
ZEEL,Zee Entertainment Enterprises,Media,NSE,145.0
SUNTV,Sun TV Network,Media,NSE,650.0
PVRINOX,PVR Inox Ltd,Media,NSE,1350.0
NETWORK18,Network18 Media,Media,NSE,65.0
INDIGO,InterGlobe Aviation (IndiGo),Airlines,NSE,4200.0
SPICEJET,SpiceJet Ltd,Airlines,NSE,65.0
PIDILITIND,Pidilite Industries,Chemicals,NSE,2950.0
SRF,SRF Ltd,Chemicals,NSE,2450.0
UPL,UPL Ltd,Chemicals,NSE,580.0
AARTIIND,Aarti Industries,Chemicals,NSE,650.0
DEEPAKNTR,Deepak Nitrite,Chemicals,NSE,2350.0
GNFC,Gujarat Narmada Valley Fertilizers,Chemicals,NSE,650.0
ZOMATO,Zomato Ltd,New Age Tech,NSE,180.0
NYKAA,FSN E-Commerce (Nykaa),New Age Tech,NSE,165.0
PAYTM,One97 Communications (Paytm),New Age Tech,NSE,450.0
POLICYBZR,PB Fintech (Policybazaar),New Age Tech,NSE,1250.0
DELHIVERY,Delhivery Ltd,New Age Tech,NSE,380.0
IRCTC,Indian Railway Catering (IRCTC),New Age Tech,NSE,950.0
APOLLOHOSP,Apollo Hospitals Enterprise,Healthcare,NSE,6200.0
FORTIS,Fortis Healthcare,Healthcare,NSE,480.0
